datum,year,,woy,date,NW,WC,SW,NC,C,SC,NE,EC,SE,STATE,
Days Suitable,1984,KS,9,19840304,,,,,,,,,,3,
Days Suitable,1984,KS,10,19840311,,,,,,,,,,3,
Days Suitable,1984,KS,11,19840318,,,,,,,,,,2.5,
Days Suitable,1984,KS,12,19840325,,,,,,,,,,1,
Days Suitable,1984,KS,13,19840401,,,,,,,,,,0.5,
Days Suitable,1984,KS,14,19840408,,,,,,,,,,0.5,
Days Suitable,1984,KS,15,19840415,,,,,,,,,,0.5,
Days Suitable,1984,KS,16,19840422,,,,,,,,,,3,
Days Suitable,1984,KS,17,19840429,3,1.5,4,1,2.5,4,2,2,2.5,2.5,
Days Suitable,1984,KS,18,19840506,0.5,1,1,0.5,1.5,1.5,1,1,1.5,1,
Days Suitable,1984,KS,19,19840513,2,2,2,1.5,1.5,4,2,2,3.5,2.5,
Days Suitable,1984,KS,20,19840520,5.5,5,3,5,5,5.5,5,6,4,5,
Days Suitable,1984,KS,21,19840527,5,4.5,5,4,5.5,5,3.5,5,6.5,5,
Days Suitable,1984,KS,22,19840603,5.5,6.5,6,4,2.5,5.5,2.5,4,4,4.5,
Days Suitable,1984,KS,23,19840610,6.5,4,6.5,4,5.5,6,5.5,5.5,5,5.5,
Days Suitable,1984,KS,24,19840617,3,4,6,3.5,4,4.5,2,4,3.5,3.5,
Days Suitable,1984,KS,25,19840624,5,6.5,6,2.5,4.5,6,1,5,3.5,4.5,
Days Suitable,1984,KS,26,19840701,5.5,6.5,5,4.5,5,5.5,3.5,3.5,4,5,
Days Suitable,1984,KS,27,19840708,5.5,5,5.5,6,6.5,6.5,5,5,6,5.5,
Days Suitable,1984,KS,28,19840715,6,6.5,6.5,6,6.5,6.5,6,5.5,6.5,6.5,
Days Suitable,1984,KS,29,19840722,6,5,5.5,6.5,6.5,6.5,6.5,6.5,6.5,6,
Days Suitable,1984,KS,30,19840729,6.5,6.5,6.5,7,7,7,7,7,7,7,
Days Suitable,1984,KS,31,19840805,6.5,6.5,6,6.5,7,6.5,7,7,7,6.5,
Days Suitable,1984,KS,32,19840812,6,6,6.5,6.5,5.5,6,7,7,7,6.5,
Days Suitable,1984,KS,33,19840819,6.5,7,6.5,6.5,6.5,7,7,7,7,7,
Days Suitable,1984,KS,34,19840826,5,5.5,6.5,6,6,6.5,6.5,6,6.5,6,
Days Suitable,1984,KS,35,19840902,5.5,6,6.5,6.5,7,7,7,6.5,6.5,6.5,
Days Suitable,1984,KS,36,19840909,6,6.5,6.5,5.5,6.5,6.5,7,6.5,6.5,6.5,
Days Suitable,1984,KS,37,19840916,6.5,6.5,7,6.5,6.5,7,6,6.5,6.5,6.5,
Days Suitable,1984,KS,38,19840923,7,7,7,4.5,6,6.5,5.5,6,7,6,
Days Suitable,1984,KS,39,19840930,7,6.5,6.5,6,5,6,5,5.5,6.5,6,
Days Suitable,1984,KS,40,19841007,5.5,4.5,5,6,5.5,6,6,6,6.5,5.5,
Days Suitable,1984,KS,41,19841014,1,4.5,5,2.5,3.5,3.5,4,5,5,4,
Days Suitable,1984,KS,42,19841021,1.5,3,4,1,1,3,1.5,3,2,2.5,
Days Suitable,1984,KS,43,19841028,0.5,0.5,1,3.5,2,3.5,3,3,2,2,
Days Suitable,1984,KS,44,19841104,3,5,4,4.5,3,4,1.5,2,1,3,
Days Suitable,1984,KS,45,19841111,6.5,6.5,7,6,6,5.5,5,4.5,5,5.5,
Days Suitable,1984,KS,46,19841118,6,7,7,5.5,6,6.5,6,5.5,6.5,6,
Days Suitable,1984,KS,47,19841125,6,5.5,6,6,5.5,3.5,5,4.5,2,5,
Days Suitable,1984,KS,48,19841202,3,5.5,5.5,5.5,6.5,5,6,4.5,3,5,
Days Suitable,1985,KS,9,19850303,,,,,,,,,,0.5,
Days Suitable,1985,KS,10,19850310,,,,,,,,,,1.8,
Days Suitable,1985,KS,11,19850317,,,,,,,,,,3,
Days Suitable,1985,KS,12,19850324,,,,,,,,,,4.5,
Days Suitable,1985,KS,13,19850331,,,,,,,,,,5,
Days Suitable,1985,KS,14,19850407,,,,,,,,,,4,
Days Suitable,1985,KS,15,19850414,,,,,,,,,,4.5,
Days Suitable,1985,KS,16,19840421,,,,,,,,,,5.5,
Days Suitable,1985,KS,17,19850428,5,6.5,5.5,3.5,4,5,6,5.5,5.5,5.5,
Days Suitable,1985,KS,18,19850505,0.5,1,1.5,1,1,1.5,1.5,1.5,1,1,
Days Suitable,1985,KS,19,19850512,4.5,3.5,3.5,5.5,2.5,3.5,4,4,1,3.5,
Days Suitable,1985,KS,20,19850519,2,1.5,5,0.5,3.5,4,3,2.5,2,3,
Days Suitable,1985,KS,21,19850526,5,3.5,5.5,4,6,5.5,4.5,5,4.5,5,
Days Suitable,1985,KS,22,19850602,3,5,6.5,3.5,4,5,2.5,2.5,3,4,
Days Suitable,1985,KS,23,19850609,2.5,6.5,3.5,1.5,1.5,2.5,1,1,0,2,
Days Suitable,1985,KS,24,19850616,6,5.5,5,3,2.5,3,2.5,1.5,1.5,3.5,
Days Suitable,1985,KS,25,19850623,6.5,6.5,6.5,4.5,6,6,4,4,4,5.5,
Days Suitable,1985,KS,26,19850630,5,5.5,6,4.5,4.5,5,3.5,3.5,4,5,
Days Suitable,1985,KS,27,19850707,5.5,5,6.5,6,6,6,6,6.5,6.5,6,
Days Suitable,1985,KS,28,19850714,7,6.5,6.5,7,6.5,6.5,7,7,7,7,
Days Suitable,1985,KS,29,19850721,6.5,6,6.5,6.5,7,6.5,7,6,7,6.5,
Days Suitable,1985,KS,30,19850728,3,4.5,4.5,5,6.5,5,4,6,5.5,5,
